date, num_teachers, num_students,day_of_week
05.18.15, 2, 20, class1.1,mon
05.21.15, 2, 17, class1.2,thu
05.25.15, 2, 16, class2.1,mon
05.28.15, 2, 16, class2.2,thu
06.01.15, 2, 14, class3.1,mon
06.04.15, 2,  7, class3.2,thu
06.08.15, 2, 11, class4.1,mon
06.11.15, 2,  7, class4.2,thu
06.15.15, 2,  7, class5.1,mon
06.18.15, 1,  , class5.2,thu
06.22.15, 1,  6, class6.1,mon
06.25.15, 1,  4, class6.2,thu
06.29.15, 1, 10, class7.1,mon
07.02.15, 1,  6, class7.2,thu
07.06.15, 2,  7, class8.1,mon
07.09.15, 2,  8, class8.2,thu
07.13.15, 2, 11, class9.1,mon
07.16.15,  ,   , class9.2,thu
